SMILES,pIC50,mol,num_atoms,logP,Molecular_Weight,Num_Bonds,TPSA,NumHDoner,NumHAcceptor
CCC=O,0.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a298dd20>,4,0.5952999999999999,58.08,3,17.07,0,1
CC(C)CCO,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a298dd90>,6,1.0248,88.14999999999999,5,20.23,1,1
CC(=O)CC(C)=O,0.28,<rdkit.Chem.rdchem.Mol object at 0x7f59a298de00>,7,0.5545,100.11699999999999,6,34.14,0,2
CC1OC(C)OC(C)O1,0.08,<rdkit.Chem.rdchem.Mol object at 0x7f59a298de70>,9,1.0878,132.159,9,27.69,0,3
CCCC=O,0.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a298dee0>,5,0.9854,72.107,4,17.07,0,1
C1CCNC1,0.43,<rdkit.Chem.rdchem.Mol object at 0x7f59a298df50>,5,0.3697999999999999,71.123,5,12.03,1,1
CC(=O)CCC(=O)O,0.36,<rdkit.Chem.rdchem.Mol object at 0x7f59a298dfc0>,8,0.4402,116.11599999999999,7,54.370000000000005,1,2
NC(=O)N=NC(N)=O,0.9987391101948528,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e030>,8,-0.4039999999999998,116.08,7,110.9,2,2
CCCCCC(C)N,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e0a0>,8,1.9139,115.22,7,26.02,1,1
CCCCOC(C)=O,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e110>,8,1.3496,116.15999999999998,7,26.3,0,2
C1COCCO1,0.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e180>,6,0.0332,88.106,6,18.46,0,2
CC(=O)OCCC(C)C,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e1f0>,9,1.5956,130.18699999999998,8,26.3,0,2
CCCCCCC(C)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e260>,9,2.337600000000001,130.231,8,20.23,1,1
O=C(O)CCCCCCCC(=O)O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e2d0>,13,1.8863,188.22299999999998,12,74.6,2,2
C=CCNCC=C,0.11,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e340>,7,0.948,97.16099999999999,6,12.03,1,1
O=C(O)CCCCC(=O)O,0.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e3b0>,10,0.716,146.14200000000002,9,74.6,2,2
CCCCCCCC(=O)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e420>,10,2.4315,144.214,9,37.3,1,1
